Timestamp,Model Name,Learning Rate,Epoch,Train Loss,Train Accuracy,Validation Loss,Validation Accuracy,Test Loss,Test Accuracy,Test Precision,Test Recall,Test F1 Score,Training Time
2024-04-16T00:40:41.710600,ITM_ResNet50_BERT,3e-05,2,0.66161871,0.6144640445709229,0.6531414985656738,0.6408934593200684,0.6437197327613831,0.6640827059745789,0.6640827059745789,0.6640827059745789,0.6640827059745789,1716.540625
2024-04-16T01:19:44.333958,ITM_Inception_ResNetV2_BERT,3e-05,2,0.6434263586997986,0.6268957257270813,0.6348847150802612,0.6589347124099731,0.6684906482696533,0.6244616508483887,0.6244616508483887,0.6244616508483887,0.6244616508483887,1867.903573
2024-04-16T13:00:48.882434,ITM_Classifier-baseline,3e-05,2,0.6633990406990051,0.6394820809364319,0.6555714011192322,0.6357388496398926,0.6463701128959656,0.633074939,0.633074939,0.633074939,0.633074939,103.685982
2024-04-17T00:27:03.073177,ITM_InceptionV3_BERT,4e-05,1,0.725448728,0.5561229586601257,0.6652019023895264,0.6443299055099487,0.6843492984771729,0.611541748,0.611541748,0.611541748,0.611541748,345.067908
2024-04-17T06:03:24.767863,ITM_Inception_ResNetV2_BERT,3e-05,2,0.6452704071998596,0.6231300830841064,0.6328123807907104,0.6460481286048889,0.6513460278511047,0.6391042470932007,0.6391042470932007,0.6391042470932007,0.6391042470932007,739.926085
2024-04-17T08:13:34.957589,ITM_Inception_ResNetV2_BERT,3e-05,20,0.34957435727119446,0.8467966318130493,0.4013599455356598,0.8213058710098267,0.4260588586330414,0.8062015771865845,0.8062015771865845,0.8062015771865845,0.8062015771865845,7221.203301
2024-04-17T08:48:32.451436,ITM_ResNet50_BERT,4e-05,20,0.5975561141967773,0.681161642,0.6158828735351562,0.6640893220901489,0.6215996146202087,0.6339362859725952,0.6339362859725952,0.6339362859725952,0.6339362859725952,6671.037303
2024-04-17T00:01:50.631410,ITM_ResNet50_BERT,3e-05,1,0.7109496593475342,0.5561745762825012,0.6538928747177124,0.6228522062301636,0.6457657217979431,0.6632213592529297,0.6632213592529297,0.6632213592529297,0.6632213592529297,352.191988
2024-04-17T01:53:31.673689,ITM_ResNet50_BERT,3e-05,20,0.6052486300468445,0.6728566884994507,0.6183040738105774,0.6632302403450012,0.6260416507720947,0.6227390170097351,0.6227390170097351,0.6227390170097351,0.6227390170097351,6579.704952
2024-04-17T05:54:50.538786,ITM_InceptionV3_BERT,3e-05,2,0.651667595,0.6234911680221558,0.6448169350624084,0.6563574075698853,0.6504258513450623,0.6442722082138062,0.6442722082138062,0.6442722082138062,0.6442722082138062,674.076576
2024-04-17T07:53:34.038903,ITM_InceptionV3_BERT,3e-05,20,0.36178281903266907,0.8411224484443665,0.426699162,0.8084192276000977,0.4706827700138092,0.7769164443016052,0.7769164443016052,0.7769164443016052,0.7769164443016052,6610.08191
2024-04-17T10:00:15.536045,ITM_InceptionV3_BERT,4e-05,20,0.3241751492023468,0.8599504828453064,0.40854334831237793,0.8341924548149109,0.44132134318351746,0.7941429615020752,0.7941429615020752,0.7941429615020752,0.7941429615020752,6584.593509
